Date,Close/Last,Volume,Open,High,Low
05/11/2021,43.04,4127456,40.90,43.22,40.55
05/10/2021,43.40,3104746,46.28,46.32,43.3001
05/07/2021,46.86,3044179,47.07,47.71,46.295
05/06/2021,45.78,2483403,44.40,45.81,43.38
05/05/2021,44.43,1321604,45.67,46.00,44.15
05/04/2021,44.72,4133957,46.209,46.25,43.17
05/03/2021,47.33,1703363,48.36,48.74,46.90
04/30/2021,47.75,2712856,48.23,49.01,47.35
04/29/2021,49.77,1929096,51.17,51.29,48.235
04/28/2021,49.88,2381093,50.55,50.6089,49.49
04/27/2021,51.31,2048760,52.00,52.07,50.7303
04/26/2021,51.73,1942559,50.89,51.83,50.85
04/23/2021,50.83,2031524,49.01,51.36,49.00
04/22/2021,48.77,2212090,50.30,50.88,48.05
04/21/2021,50.51,1502272,48.62,50.55,48.32
04/20/2021,49.05,1832789,50.01,50.69,48.18
04/19/2021,50.35,2282600,51.02,51.69,49.435
04/16/2021,51.69,832555,51.92,51.94,51.01
04/15/2021,51.74,1998885,50.534,51.80,50.48
04/14/2021,49.16,1828138,50.70,50.8375,48.85
04/13/2021,50.85,1510414,50.01,50.8997,49.69
04/12/2021,49.48,1640548,49.69,49.87,48.64
04/09/2021,50.11,1466096,48.11,50.15,47.9367
04/08/2021,48.76,2306103,48.00,48.76,47.77
04/07/2021,46.74,1104079,45.83,46.92,45.33
04/06/2021,45.99,1302153,46.27,46.78,45.51
04/05/2021,46.49,2689398,44.68,46.78,44.4045
04/01/2021,43.78,2170714,42.76,43.85,42.60
03/31/2021,41.32,1685890,40.36,42.09,40.30
03/30/2021,39.64,890564,39.81,39.905,38.7521
03/29/2021,40.62,1119336,40.98,41.27,39.71
03/26/2021,41.29,1622655,38.30,41.38,38.28
03/25/2021,38.40,2725571,37.52,38.88,36.87
03/24/2021,38.44,1886686,40.59,40.60,38.44
03/23/2021,39.88,1205591,41.01,41.53,39.57
03/22/2021,40.66,1550104,39.01,41.22,38.95
